,week 1,week 2,week 3,week 4,week 5,week 6,week 7,week 8,week 9,week 10,week 11,week 12,week 13,week 14,week 15,week 16,week 17,week 18,week 19,week 20,week 21,week 22,week 23,week 24,week 25,week 26,week 27,week 28,week 29,week 30
24422EUR8,1.0,7.0,797.0,250.0,50.0,50.0,1000.0,50,1000,250.0,475.0,50.0,250.0,1.0,250.0,250,707.0,250,50.0,250.0,250.0,250,50,39.0,250.0,1000.0,50.0,250.0,50.0,1.0
313747AU1,200.0,200.0,48.0,200.0,200.0,150.0,100.0,200,200,200.0,75.0,150.0,200.0,2200.0,150.0,200,150.0,150,150.0,150.0,200.0,150,150,150.0,200.0,200.0,150.0,150.0,3732.0,150.0
949746RE3,111.0,200.0,200.0,2000.0,59.0,155.0,150.0,250,2000,130.0,105.0,130.0,200.0,200.0,250.0,150,150.0,200,150.0,148.0,150.0,155,148,88.0,155.0,2000.0,112.0,200.0,115.0,115.0
316773CP3,100.0,150.0,150.0,250.0,11.0,165.0,250.0,8,2,150.0,200.0,155.0,150.0,9.0,200.0,8,150.0,200,155.0,140.0,23.0,250,200,300.0,250.0,2.0,50.0,200.0,250.0,150.0
06051GFB0,300.0,250.0,250.0,115.0,225.0,115.0,250.0,255,155,130.0,1125.0,1000.0,250.0,155.0,250.0,300,250.0,250,130.0,250.0,157.0,250,300,120.0,250.0,155.0,250.0,250.0,154.0,401.0
693475AV7,100.0,250.0,54.0,250.0,2.0,250.0,200.0,250,150,25.0,150.0,250.0,250.0,200.0,250.0,250,200.0,200,250.0,250.0,250.0,250,1000,250.0,250.0,150.0,250.0,200.0,150.0,19.0
95000U2C6,200.0,35.0,122.0,100.0,250.0,250.0,200.0,250,250,231.0,225.0,231.0,100.0,20.0,250.0,250,300.0,231,231.0,850.0,250.0,165,250,136.0,770.0,250.0,239.0,231.0,350.0,250.0
35137LAG0,250.0,250.0,300.0,250.0,250.0,200.0,50.0,50,300,250.0,300.0,250.0,200.0,200.0,200.0,300,250.0,250,250.0,250.0,250.0,200,250,200.0,250.0,300.0,50.0,250.0,300.0,250.0
316773CX6,200.0,350.0,50.0,250.0,875.0,50.0,300.0,250,250,25.0,250.0,178.0,300.0,200.0,1233.0,350,350.0,250,300.0,1000.0,250.0,255,350,1284.0,250.0,250.0,1510.0,250.0,350.0,350.0
14040HCA1,15.0,15.0,15.0,300.0,66.0,50.0,200.0,300,15,155.0,300.0,300.0,200.0,15.0,200.0,300,15.0,300,200.0,755.0,300.0,250,250,200.0,250.0,15.0,50.0,300.0,15.0,15.0
02209SAS2,150.0,250.0,250.0,150.0,200.0,200.0,250.0,200,250,15.0,250.0,169.0,150.0,30.0,150.0,150,250.0,200,172.0,886.0,150.0,5,5,230.0,5.0,250.0,255.0,200.0,200.0,500.0
46625HJT8,300.0,350.0,89.0,246.0,223.0,145.0,200.0,250,250,9.0,350.0,225.0,1000.0,211.0,1000.0,250,165.0,250,250.0,257.0,145.0,250,250,250.0,250.0,250.0,300.0,250.0,2000.0,708.0
10112RAW4,150.0,2.0,200.0,6.0,200.0,220.0,200.0,150,200,150.0,200.0,200.0,200.0,2.0,200.0,50,100.0,90,200.0,150.0,150.0,200,150,200.0,150.0,200.0,200.0,90.0,200.0,200.0
501044CY5,150.0,200.0,145.0,870.0,200.0,1000.0,145.0,200,845,20.0,150.0,150.0,498.0,35.0,200.0,150,200.0,1000,250.0,150.0,200.0,100,200,24.0,150.0,845.0,150.0,1000.0,150.0,200.0
494550BS4,390.0,36.0,200.0,150.0,3466.0,5.0,250.0,250,200,200.0,500.0,200.0,200.0,250.0,150.0,200,200.0,2,500.0,200.0,6.0,150,200,250.0,200.0,200.0,500.0,2.0,2.0,500.0
828807CR6,100.0,200.0,250.0,150.0,62.0,250.0,250.0,150,250,200.0,250.0,150.0,250.0,118.0,200.0,250,150.0,19,250.0,250.0,16.0,200,200,150.0,150.0,250.0,50.0,19.0,200.0,200.0
808513AY1,100.0,100.0,250.0,150.0,1000.0,200.0,100.0,250,200,150.0,250.0,200.0,150.0,14.0,150.0,200,150.0,200,150.0,200.0,45.0,150,150,250.0,150.0,200.0,250.0,200.0,23.0,23.0
06406HCS6,150.0,107.0,54.0,200.0,150.0,200.0,122.0,150,165,2415.0,2.0,2415.0,150.0,155.0,150.0,200,150.0,200,1.0,155.0,250.0,250,200,85.0,150.0,165.0,150.0,200.0,22.0,155.0
91159HHV5,250.0,300.0,84.0,250.0,334.0,50.0,200.0,300,250,250.0,14.0,102.0,300.0,169.0,200.0,250,300.0,200,250.0,155.0,250.0,250,250,300.0,255.0,250.0,334.0,200.0,250.0,611.0
594918BX1,100.0,250.0,250.0,300.0,250.0,80.0,200.0,250,300,200.0,250.0,250.0,350.0,250.0,250.0,250,300.0,250,73.0,110.0,250.0,240,200,250.0,250.0,300.0,250.0,250.0,2.0,1000.0
037833CG3,141.0,250.0,300.0,255.0,111.0,350.0,200.0,250,124,200.0,350.0,250.0,18.0,46.0,250.0,250,250.0,250,250.0,155.0,250.0,155,200,175.0,250.0,124.0,250.0,250.0,281.0,1000.0
459200HU8,250.0,200.0,250.0,250.0,300.0,200.0,200.0,350,300,2885.0,350.0,350.0,250.0,100.0,200.0,300,350.0,350,250.0,2156.0,250.0,1000,350,200.0,250.0,300.0,250.0,350.0,1985.0,250.0
88579YBB6,150.0,64.0,250.0,1000.0,150.0,50.0,250.0,150,1000,250.0,150.0,250.0,150.0,1000.0,200.0,200,150.0,150,150.0,1000.0,200.0,1000,1000,150.0,250.0,1000.0,150.0,150.0,1000.0,1000.0
91324PDM1,200.0,200.0,200.0,200.0,150.0,250.0,250.0,250,150,250.0,200.0,150.0,250.0,1919.0,200.0,250,200.0,250,250.0,250.0,250.0,250,250,200.0,200.0,150.0,250.0,250.0,1919.0,225.0
437076BC5,250.0,250.0,200.0,200.0,250.0,200.0,200.0,250,250,200.0,200.0,3500.0,200.0,190.0,250.0,200,1000.0,250,250.0,150.0,200.0,150,584,200.0,250.0,250.0,250.0,250.0,150.0,150.0
29379VBB8,200.0,50.0,250.0,200.0,21.0,250.0,100.0,100,150,18.0,200.0,50.0,250.0,250.0,250.0,100,250.0,200,50.0,100.0,250.0,200,150,250.0,500.0,150.0,100.0,200.0,200.0,250.0
38141GXE9,250.0,300.0,26.0,300.0,155.0,250.0,200.0,350,300,150.0,100.0,500.0,54.0,400.0,250.0,250,300.0,250,475.0,255.0,300.0,250,255,250.0,200.0,300.0,295.0,250.0,600.0,5000.0
025816CC1,300.0,261.0,78.0,145.0,200.0,66.0,200.0,769,1000,34.0,250.0,400.0,108.0,160.0,300.0,108,78.0,300,1000.0,300.0,250.0,4300,200,28.0,5000.0,1000.0,269.0,300.0,157.0,157.0
02079KAB3,150.0,150.0,200.0,200.0,150.0,250.0,100.0,200,200,1000.0,150.0,1000.0,150.0,200.0,150.0,150,150.0,32,1000.0,150.0,200.0,250,250,150.0,150.0,200.0,200.0,32.0,200.0,150.0
452308AT6,90.0,55.0,200.0,41.0,200.0,150.0,250.0,150,41,200.0,150.0,200.0,150.0,5.0,150.0,150,150.0,200,150.0,200.0,200.0,200,100,17.0,200.0,41.0,40.0,200.0,5.0,5.0
713448CM8,300.0,200.0,200.0,300.0,250.0,250.0,250.0,300,250,200.0,300.0,250.0,250.0,200.0,200.0,250,1000.0,250,250.0,2.0,100.0,2,250,300.0,2.0,250.0,250.0,250.0,250.0,155.0
907818FA1,100.0,100.0,250.0,150.0,150.0,250.0,100.0,250,150,250.0,150.0,250.0,200.0,1000.0,250.0,50,150.0,150,200.0,250.0,200.0,250,200,200.0,200.0,150.0,50.0,150.0,200.0,200.0
38141GVM3,300.0,200.0,250.0,225.0,250.0,350.0,250.0,200,250,250.0,165.0,255.0,250.0,350.0,300.0,250,165.0,250,300.0,255.0,115.0,255,200,67.0,35.0,250.0,130.0,250.0,945.0,990.0
17275RAN2,250.0,500.0,200.0,200.0,16.0,250.0,213.0,16,150,250.0,30.0,150.0,250.0,200.0,250.0,200,250.0,150,250.0,250.0,250.0,250,250,200.0,150.0,150.0,250.0,150.0,500.0,500.0
96950FAM6,100.0,100.0,150.0,250.0,250.0,250.0,250.0,250,250,250.0,200.0,200.0,250.0,200.0,100.0,50,200.0,250,250.0,250.0,250.0,200,250,200.0,200.0,250.0,100.0,250.0,200.0,60.0
24422EUX5,150.0,150.0,150.0,150.0,250.0,250.0,100.0,250,150,200.0,250.0,150.0,150.0,150.0,250.0,250,100.0,150,150.0,250.0,200.0,200,200,250.0,200.0,150.0,250.0,150.0,95.0,1.0
58933YAU9,200.0,75.0,200.0,250.0,200.0,50.0,215.0,200,250,250.0,150.0,200.0,100.0,200.0,150.0,150,200.0,250,250.0,200.0,250.0,250,100,200.0,250.0,250.0,250.0,250.0,200.0,150.0
19416QEG1,100.0,150.0,250.0,100.0,250.0,150.0,150.0,250,200,200.0,250.0,200.0,200.0,200.0,250.0,200,200.0,200,150.0,200.0,200.0,200,250,200.0,200.0,200.0,250.0,200.0,200.0,150.0
571748BF8,150.0,200.0,150.0,150.0,34.0,150.0,250.0,2,250,250.0,250.0,200.0,2.0,250.0,156.0,2,150.0,1000,250.0,250.0,1000.0,250,200,18.0,250.0,250.0,50.0,1000.0,150.0,4.0
717081ES8,150.0,250.0,100.0,150.0,150.0,250.0,250.0,200,250,250.0,200.0,150.0,150.0,5.0,150.0,150,250.0,150,250.0,2.0,250.0,2,2,22.0,2.0,250.0,200.0,150.0,100.0,100.0
09247XAL5,150.0,450.0,120.0,165.0,250.0,17.0,100.0,33,200,217.0,155.0,217.0,150.0,194.0,234.0,40,250.0,217,217.0,71.0,155.0,235,250,155.0,303.0,200.0,250.0,217.0,10.0,125.0
06051GFF1,200.0,25.0,250.0,47.0,250.0,6.0,225.0,25,703,125.0,255.0,350.0,350.0,200.0,250.0,20,300.0,41,300.0,979.0,350.0,974,300,292.0,942.0,703.0,17.0,41.0,250.0,29.0
57636QAB0,200.0,150.0,250.0,200.0,250.0,500.0,100.0,250,250,250.0,150.0,150.0,500.0,3300.0,200.0,250,250.0,250,250.0,100.0,500.0,250,250,77.0,200.0,250.0,250.0,250.0,250.0,150.0
92936UAA7,236.0,100.0,200.0,95.0,150.0,200.0,80.0,85,150,75.0,35.0,200.0,150.0,10.0,85.0,450,200.0,200,200.0,200.0,200.0,75,150,150.0,200.0,150.0,290.0,200.0,135.0,10.0
375558AW3,100.0,200.0,250.0,1000.0,200.0,670.0,200.0,250,630,200.0,250.0,100.0,250.0,250.0,200.0,250,350.0,100,570.0,250.0,100.0,300,250,250.0,250.0,630.0,50.0,100.0,2000.0,350.0
12189LAR2,100.0,15.0,50.0,200.0,150.0,200.0,50.0,200,50,200.0,200.0,10.0,200.0,100.0,200.0,200,100.0,10,10.0,150.0,10.0,150,200,39.0,50.0,50.0,150.0,10.0,40.0,145.0
86787EBC0,300.0,200.0,250.0,200.0,300.0,248.0,250.0,248,1000,498.0,250.0,250.0,248.0,228.0,250.0,248,250.0,300,200.0,1498.0,250.0,1498,250,200.0,300.0,1000.0,300.0,300.0,47.0,228.0
59156RBH0,150.0,200.0,250.0,200.0,1500.0,250.0,200.0,200,200,250.0,200.0,200.0,1000.0,200.0,50.0,1000,250.0,250,250.0,67.0,247.0,230,67,88.0,150.0,200.0,50.0,250.0,250.0,250.0
26441CAN5,127.0,250.0,49.0,165.0,200.0,513.0,250.0,250,157,8.0,200.0,255.0,7.0,250.0,200.0,5,200.0,200,231.0,256.0,250.0,250,100,200.0,250.0,157.0,5.0,200.0,150.0,250.0
20030NCR0,350.0,300.0,250.0,250.0,100.0,1000.0,200.0,350,250,250.0,350.0,250.0,1000.0,54.0,250.0,50,350.0,250,1000.0,250.0,250.0,250,250,300.0,350.0,250.0,250.0,250.0,250.0,5.0
931142DP5,300.0,345.0,250.0,140.0,1500.0,300.0,250.0,250,250,203.0,250.0,1000.0,250.0,250.0,250.0,350,250.0,350,250.0,250.0,250.0,500,200,350.0,140.0,250.0,1000.0,350.0,250.0,250.0
14040HBF1,100.0,200.0,200.0,250.0,500.0,200.0,250.0,500,150,250.0,250.0,150.0,80.0,9.0,200.0,500,3.0,200,250.0,250.0,200.0,250,250,250.0,150.0,150.0,500.0,200.0,150.0,150.0
61746BDQ6,250.0,350.0,100.0,1000.0,250.0,250.0,250.0,250,252,55.0,250.0,250.0,250.0,250.0,300.0,250,165.0,350,250.0,200.0,300.0,255,200,350.0,200.0,252.0,834.0,350.0,250.0,250.0
