,week 1,week 2,week 3,week 4,week 5,week 6,week 7,week 8,week 9,week 10,week 11,week 12,week 13,week 14,week 15,week 16,week 17,week 18,week 19,week 20,week 21,week 22,week 23,week 24,week 25,week 26,week 27,week 28,week 29,week 30
0,24422EUR8,24422EUR8,24422EUR8,24422EUR8,24422EUR8,24422EUR8,24422EUR8,24422EUR8,24422EUR8,24422EUR8,294429AM7,37045XCF1,24422EUR8,24422EUR8,24422EUR8,24422EUR8,24422EUR8,37045XCF1,37045XCF1,24422EUR8,24422EUR8,24422EUR8,00846UAJ0,031162BX7,24422EUR8,24422EUR8,24422EUR8,37045XCF1,24422EUR8,24422EUR8
1,133131AU6,133131AU6,313747AU1,313747AU1,655844BP2,313747AU1,948741AK9,313747AU1,133131AU6,313747AU1,96950FAH7,24422EUA5,313747AU1,313747AU1,313747AU1,313747AU1,948741AK9,24422EUA5,24422EUA5,313747AU1,313747AU1,313747AU1,037833AY6,713448DT2,313747AU1,133131AU6,313747AU1,24422EUA5,655844BP2,655844BP2
2,655844BP2,948741AK9,133131AU6,949746RE3,313747AU1,11134LAF6,313747AU1,11134LAF6,313747AU1,11134LAF6,67066GAD6,06051GEU9,133131AU6,655844BP2,11134LAF6,655844BP2,655844BP2,36962G6S8,36962G6S8,11134LAF6,11134LAF6,11134LAF6,037833CM0,69371RP83,948741AK9,313747AU1,11134LAF6,36962G6S8,313747AU1,313747AU1
3,313747AU1,313747AU1,655844BP2,316773CP3,11134LAF6,949746RE3,949746RE3,949746RE3,948741AK9,949746RE3,14912L6E6,037833DE7,11134LAF6,948741AK9,949746RE3,11134LAF6,313747AU1,06051GEU9,06051GEU9,949746RE3,949746RE3,949746RE3,037833CQ1,458140BB5,949746RE3,948741AK9,949746RE3,06051GEU9,949746RE3,949746RE3
4,949746RE3,655844BP2,949746RE3,06051GFB0,949746RE3,316773CP3,316773CP3,316773CP3,949746RE3,316773CP3,98978VAQ6,94973VBA4,949746RE3,949746RE3,316773CP3,949746RE3,133131AU6,037833DE7,037833DE7,316773CP3,316773CP3,316773CP3,037833BF6,031162CP3,316773CP3,949746RE3,316773CP3,037833DE7,316773CP3,316773CP3
5,316773CP3,949746RE3,316773CP3,17325FAS7,316773CP3,06051GFB0,06051GFB0,06051GFB0,316773CP3,06051GFB0,665859AM6,48128BAB7,316773CP3,316773CP3,06051GFB0,316773CP3,949746RE3,94973VBA4,94973VBA4,06051GFB0,06051GFB0,06051GFB0,037833DC1,037833CQ1,06051GFB0,316773CP3,06051GFB0,94973VBA4,06051GFB0,06051GFB0
6,06051GFB0,316773CP3,06051GFB0,693475AV7,06051GFB0,17325FAS7,17325FAS7,17325FAS7,06051GFB0,693475AV7,06406HBY4,969457BU3,06051GFB0,06051GFB0,693475AV7,06051GFB0,316773CP3,48128BAB7,115637AM2,17325FAS7,17325FAS7,693475AV7,037833DE7,459200JX0,693475AV7,06051GFB0,17325FAS7,48128BAB7,17325FAS7,17325FAS7
7,693475AV7,06051GFB0,693475AV7,95000U2C6,693475AV7,693475AV7,693475AV7,693475AV7,693475AV7,17325FAS7,713448BW7,740189AG0,17325FAS7,17325FAS7,17325FAS7,693475AV7,06051GFB0,740189AG0,740189AG0,693475AV7,693475AV7,17325FAS7,037833BU3,037833BF6,95000U2C6,693475AV7,693475AV7,740189AG0,693475AV7,693475AV7
8,17325FAS7,693475AV7,17325FAS7,35137LAG0,17325FAS7,95000U2C6,95000U2C6,95000U2C6,17325FAS7,95000U2C6,21036PAW8,539830BG3,693475AV7,693475AV7,95000U2C6,17325FAS7,693475AV7,969457BU3,969457BU3,95000U2C6,95000U2C6,95000U2C6,037833AK6,532457BQ0,35137LAG0,17325FAS7,95000U2C6,969457BU3,95000U2C6,95000U2C6
9,95000U2C6,17325FAS7,95000U2C6,316773CX6,95000U2C6,35137LAG0,35137LAG0,35137LAG0,95000U2C6,35137LAG0,65339KAS9,65339KAW0,95000U2C6,95000U2C6,35137LAG0,95000U2C6,95000U2C6,115637AM2,539830BG3,35137LAG0,35137LAG0,35137LAG0,037833CG3,94973VAX5,316773CX6,95000U2C6,35137LAG0,115637AM2,35137LAG0,35137LAG0
10,35137LAG0,95000U2C6,35137LAG0,14040HCA1,35137LAG0,316773CX6,316773CX6,316773CX6,35137LAG0,316773CX6,14913Q2N8,615369AK1,35137LAG0,35137LAG0,316773CX6,35137LAG0,35137LAG0,539830BG3,49456BAM3,316773CX6,316773CX6,316773CX6,037833AS9,144141DC9,14040HCA1,35137LAG0,316773CX6,539830BG3,316773CX6,316773CX6
11,316773CX6,35137LAG0,316773CX6,91159HHG8,316773CX6,14040HCA1,14040HCA1,14040HCA1,316773CX6,14040HCA1,24422EUK3,49456BAM3,316773CX6,316773CX6,14040HCA1,316773CX6,316773CX6,49456BAM3,65339KAW0,14040HCA1,14040HCA1,14040HCA1,037833CU2,031162BN9,02209SAS2,316773CX6,14040HCA1,49456BAM3,14040HCA1,14040HCA1
12,14040HCA1,316773CX6,14040HCA1,02209SAS2,14040HCA1,91159HHG8,91159HHG8,91159HHG8,14040HCA1,91159HHG8,717081EM1,38141GRD8,14040HCA1,14040HCA1,91159HHG8,14040HCA1,14040HCA1,11134LAM1,11134LAM1,91159HHG8,91159HHG8,91159HHG8,00037BAB8,68389XBB0,46625HJT8,14040HCA1,91159HHG8,11134LAM1,91159HHG8,91159HHG8
