,week 1,week 2,week 3,week 4,week 5,week 6,week 7,week 8,week 9,week 10,week 11,week 12,week 13,week 14,week 15,week 16,week 17,week 18,week 19,week 20,week 21,week 22,week 23,week 24,week 25,week 26,week 27,week 28,week 29,week 30
24422EUR8,0.01154,0.0104,0.00874,0.0057399999999999994,0.00184,0.00219,0.00805,0.0032700000000000003,0.008960000000000001,0.00384,0.00482,0.005600000000000001,0.00264,0.0111,0.00121,0.00149,0.00923,0.00415,0.00479,0.00545,0.0031,0.00623,0.581,0.0046700000000000005,0.0054600000000000004,0.008960000000000001,0.00381,0.00415,0.00938,0.01312
313747AU1,0.01423,0.01264,0.01205,0.010589999999999999,0.00604,0.005350000000000001,0.01109,0.00506,0.01137,0.00701,0.00657,0.008159999999999999,0.00571,0.01394,0.005540000000000001,0.0054,0.011359999999999999,0.00749,0.008020000000000001,0.00862,0.00643,0.00966,0.935,0.00638,0.00968,0.01137,0.005659999999999999,0.00749,0.01743,0.01592
949746RE3,0.01394,0.01341,0.011160000000000002,0.010709999999999999,0.00733,0.00637,0.01103,0.00634,0.01139,0.00767,0.006979999999999999,0.00868,0.00657,0.01272,0.00688,0.0063,0.01176,0.00786,0.00847,0.009399999999999999,0.00701,0.010129999999999998,0.964,0.0070599999999999994,0.01042,0.01139,0.006690000000000001,0.00786,0.01593,0.01343
316773CP3,0.01505,0.014150000000000001,0.0123,0.01274,0.00781,0.006979999999999999,0.01155,0.00715,0.01349,0.00866,0.00748,0.00983,0.00676,0.01436,0.00658,0.00736,0.012450000000000001,0.00892,0.00947,0.010069999999999999,0.00883,0.01149,1.07,0.00752,0.01172,0.01349,0.00713,0.00892,0.01828,0.015700000000000002
06051GFB0,0.012580000000000001,0.0118,0.00996,0.01034,0.0060799999999999995,0.00481,0.01043,0.0046300000000000004,0.011000000000000001,0.006750000000000001,0.0059099999999999995,0.008100000000000001,0.00528,0.01202,0.00528,0.00499,0.01038,0.00726,0.00768,0.00838,0.00618,0.00961,0.89,0.005829999999999999,0.00943,0.011000000000000001,0.00507,0.00726,0.01559,0.0139
693475AV7,0.0125,0.01158,0.01045,0.00989,0.00551,0.00584,0.010369999999999999,0.00458,0.010740000000000001,0.00734,0.0047599999999999995,0.00797,0.005370000000000001,0.01206,0.00424,0.00471,0.01048,0.00711,0.00781,0.00923,0.0064800000000000005,0.00995,0.92,0.00504,0.00951,0.010740000000000001,0.00436,0.00711,0.015069999999999998,0.01448
95000U2C6,0.01381,0.0127,0.01113,0.01018,0.00614,0.0053,0.010740000000000001,0.00498,0.01138,0.00734,0.00609,0.00844,0.005719999999999999,0.01333,0.00549,0.0053100000000000005,0.01137,0.0076,0.00827,0.00908,0.00662,0.010029999999999999,0.956,0.0059299999999999995,0.010069999999999999,0.01138,0.00555,0.0076,0.01583,0.01504
35137LAG0,0.01371,0.012549999999999999,0.00933,0.01114,0.00656,0.00588,0.00845,0.0063,0.01076,0.00838,0.00623,0.00984,0.00655,0.01278,0.00598,0.0060999999999999995,0.01006,0.00857,0.00954,0.00984,0.008,0.01065,1.052,0.00613,0.01126,0.01076,0.00609,0.00857,0.015269999999999999,0.01505
316773CX6,0.014039999999999999,0.01294,0.01083,0.01121,0.00655,0.005620000000000001,0.01119,0.005620000000000001,0.011659999999999998,0.00809,0.0064600000000000005,0.009389999999999999,0.00523,0.013560000000000001,0.00601,0.00575,0.01149,0.0075,0.00859,0.00949,0.00642,0.01069,1.027,0.00633,0.01054,0.011659999999999998,0.005849999999999999,0.0075,0.01694,0.01572
14040HCA1,0.01468,0.01317,0.01201,0.01135,0.00695,0.00655,0.01157,0.00571,0.01242,0.00874,0.00668,0.00972,0.006750000000000001,0.01489,0.00623,0.00616,0.01206,0.008409999999999999,0.009260000000000001,0.01038,0.00726,0.01106,1.105,0.0067,0.011359999999999999,0.01242,0.0062,0.008409999999999999,0.01815,0.01675
02209SAS2,0.015269999999999999,0.01413,0.01201,0.01122,0.00649,0.00621,0.01226,0.0053,0.01257,0.00919,0.00643,0.00971,0.00635,0.014419999999999999,0.00492,0.005719999999999999,0.01253,0.00863,0.00932,0.01023,0.00737,0.01106,1.042,0.00632,0.011470000000000001,0.01257,0.0053,0.00863,0.01696,0.01672
46625HJT8,0.01268,0.011240000000000002,0.00978,0.00976,0.00522,0.00545,0.009689999999999999,0.00483,0.010620000000000001,0.00712,0.0054800000000000005,0.008020000000000001,0.0062,0.011810000000000001,0.00488,0.005180000000000001,0.01,0.00726,0.0079,0.00868,0.00647,0.00993,0.91,0.00526,0.00971,0.010620000000000001,0.0046700000000000005,0.00726,0.0146,0.01357
10112RAW4,0.014990000000000002,0.01349,0.01065,0.01207,0.006500000000000001,0.00715,0.01107,0.00635,0.0116,0.0074399999999999996,0.00681,0.00836,0.00676,0.01435,0.00644,0.00681,0.008,0.008579999999999999,0.0086,0.00905,0.00781,0.010589999999999999,1.016,0.006540000000000001,0.01093,0.0116,0.00631,0.008579999999999999,0.01675,0.01618
501044CY5,0.01299,0.011470000000000001,0.010409999999999999,0.00975,0.00492,0.005809999999999999,0.009729999999999999,0.00504,0.010629999999999999,0.00732,0.00481,0.00707,0.00651,0.012390000000000002,0.00489,0.00524,0.00954,0.00756,0.00801,0.00828,0.0066500000000000005,0.005809999999999999,0.904,0.005,0.00863,0.010629999999999999,0.00493,0.00756,0.01444,0.013420000000000001
494550BS4,0.01509,0.0137,0.011899999999999999,0.01163,0.00782,0.00724,0.011899999999999999,0.00688,0.01222,0.00874,0.00722,0.00984,0.0067800000000000004,0.01473,0.0072299999999999994,0.006860000000000001,0.01236,0.00916,0.00928,0.01018,0.00817,0.01083,1.062,0.0073,0.010660000000000001,0.01222,0.0072499999999999995,0.00916,0.01806,0.01603
828807CR6,0.01229,0.010620000000000001,0.009689999999999999,0.00951,0.00586,0.00506,0.00974,0.00487,0.01054,0.0059299999999999995,0.0059499999999999996,0.0072499999999999995,0.00508,0.01209,0.00452,0.00486,0.00997,0.006959999999999999,0.00773,0.008060000000000001,0.00644,0.00904,0.862,0.00567,0.00927,0.01054,0.00418,0.006959999999999999,0.014530000000000001,0.01313
808513AY1,0.01129,0.00995,0.0085,0.00638,0.00404,0.00368,0.0064800000000000005,0.0034999999999999996,0.00869,0.0059,0.0046,0.0067800000000000004,0.004030000000000001,0.01083,0.00383,0.00386,0.00871,0.00623,0.006730000000000001,0.0070599999999999994,0.00545,0.00741,0.762,0.00414,0.00772,0.00869,0.00382,0.00623,0.0149,0.01279
06406HCS6,0.01159,0.01111,0.00912,0.00924,0.00425,0.0040999999999999995,0.00877,0.004050000000000001,0.00927,0.00662,0.00511,0.00771,0.00492,0.01167,0.00406,0.0041199999999999995,0.00909,0.00619,0.00707,0.00787,0.00561,0.00886,0.827,0.00481,0.00873,0.00927,0.00382,0.00619,0.01542,0.01391
91159HHV5,0.01184,0.0105,0.00857,0.0088,0.00504,0.0047599999999999995,0.008579999999999999,0.0039700000000000004,0.009439999999999999,0.00612,0.00491,0.00728,0.00497,0.011399999999999999,0.00433,0.00445,0.00873,0.00631,0.0069099999999999995,0.0076300000000000005,0.00571,0.00863,0.808,0.00503,0.0076100000000000004,0.009439999999999999,0.00464,0.00631,0.015260000000000001,0.01389
594918BX1,0.00697,0.00938,0.00659,0.0069,0.0043,0.00388,0.00683,0.00331,0.00764,0.00528,0.00392,0.00683,0.0038900000000000002,0.00953,0.00374,0.00336,0.00674,0.0060799999999999995,0.00647,0.00626,0.0049499999999999995,0.00711,0.685,0.00423,0.00735,0.00764,0.00312,0.0060799999999999995,0.01344,0.011859999999999999
