,week 1,week 2,week 3,week 4,week 5,week 6,week 7,week 8,week 9,week 10,week 11,week 12,week 13,week 14,week 15,week 16,week 17,week 18,week 19,week 20,week 21,week 22,week 23,week 24,week 25,week 26,week 27,week 28,week 29,week 30
24422EUR8,1.0,1.0,1.0,20.0,15.0,10.0,1.0,1,1,20.0,1.0,10.0,20.0,1.0,20.0,20,1.0,20,10.0,20.0,20.0,20,10,15.0,20.0,1.0,1.0,20.0,10.0,1.0
313747AU1,15.0,15.0,1.0,15.0,15.0,15.0,5.0,15,15,15.0,1.0,15.0,15.0,1.0,15.0,15,15.0,15,15.0,15.0,15.0,15,15,15.0,15.0,15.0,15.0,15.0,1.0,15.0
949746RE3,1.0,15.0,15.0,1.0,10.0,1.0,15.0,250,1,1.0,1.0,1.0,15.0,15.0,250.0,15,15.0,15,15.0,1.0,15.0,1,1,10.0,1.0,1.0,1.0,15.0,1.0,1.0
316773CP3,5.0,15.0,15.0,250.0,10.0,2.0,2.0,2,2,15.0,15.0,2.0,15.0,5.0,15.0,2,15.0,15,2.0,2.0,2.0,2,15,5.0,250.0,2.0,2.0,15.0,250.0,15.0
06051GFB0,15.0,250.0,250.0,2.0,2.0,2.0,250.0,2,2,2.0,2.0,2.0,2.0,2.0,250.0,15,250.0,15,2.0,250.0,2.0,2,15,2.0,15.0,2.0,250.0,15.0,2.0,10.0
693475AV7,5.0,250.0,2.0,5.0,2.0,250.0,15.0,2,15,10.0,15.0,15.0,15.0,15.0,15.0,2,15.0,15,2.0,250.0,5.0,250,2,250.0,15.0,15.0,15.0,15.0,15.0,5.0
95000U2C6,15.0,1.0,1.0,5.0,250.0,15.0,15.0,15,1,1.0,1.0,1.0,5.0,10.0,250.0,1,15.0,1,1.0,1.0,15.0,1,15,1.0,1.0,1.0,1.0,1.0,15.0,250.0
35137LAG0,15.0,15.0,15.0,250.0,15.0,15.0,5.0,2,15,250.0,15.0,250.0,15.0,15.0,15.0,15,15.0,250,250.0,250.0,250.0,15,250,15.0,250.0,15.0,2.0,250.0,15.0,15.0
316773CX6,15.0,15.0,2.0,15.0,2.0,2.0,15.0,15,15,15.0,15.0,2.0,15.0,15.0,2.0,15,15.0,2,15.0,2.0,2.0,2,15,2.0,15.0,15.0,2.0,2.0,15.0,15.0
14040HCA1,2.0,2.0,2.0,15.0,10.0,2.0,15.0,15,2,2.0,15.0,15.0,15.0,2.0,15.0,15,2.0,15,15.0,2.0,15.0,2,250,5.0,250.0,2.0,5.0,15.0,2.0,2.0
02209SAS2,15.0,2.0,10.0,15.0,5.0,15.0,10.0,15,10,5.0,250.0,2.0,15.0,5.0,15.0,15,10.0,15,2.0,2.0,15.0,5,5,230.0,5.0,10.0,2.0,15.0,15.0,10.0
46625HJT8,15.0,15.0,2.0,2.0,2.0,2.0,15.0,15,250,9.0,15.0,2.0,2.0,2.0,2.0,15,2.0,15,2.0,2.0,2.0,2,2,250.0,15.0,250.0,15.0,15.0,2.0,2.0
10112RAW4,15.0,1.0,15.0,5.0,15.0,1.0,15.0,15,15,15.0,15.0,15.0,15.0,1.0,15.0,1,10.0,1,15.0,15.0,15.0,15,15,15.0,15.0,15.0,15.0,1.0,15.0,15.0
501044CY5,15.0,15.0,2.0,2.0,15.0,2.0,2.0,15,2,2.0,15.0,15.0,2.0,2.0,15.0,15,15.0,2,2.0,15.0,15.0,10,15,15.0,15.0,2.0,15.0,2.0,15.0,15.0
494550BS4,1.0,15.0,1.0,15.0,1.0,1.0,1.0,1,1,1.0,5.0,1.0,15.0,250.0,15.0,15,1.0,1,5.0,1.0,1.0,15,1,1.0,1.0,1.0,5.0,1.0,1.0,10.0
828807CR6,5.0,15.0,2.0,15.0,2.0,2.0,2.0,15,2,15.0,250.0,15.0,2.0,5.0,15.0,2,15.0,15,2.0,2.0,15.0,15,15,15.0,15.0,2.0,2.0,15.0,15.0,15.0
808513AY1,5.0,5.0,2.0,15.0,2.0,15.0,10.0,250,15,15.0,250.0,15.0,15.0,5.0,15.0,15,15.0,15,15.0,15.0,15.0,15,15,250.0,15.0,15.0,250.0,15.0,5.0,5.0
06406HCS6,15.0,1.0,1.0,15.0,15.0,15.0,1.0,15,1,1.0,1.0,1.0,15.0,1.0,15.0,15,15.0,15,1.0,1.0,1.0,1,15,15.0,15.0,1.0,15.0,15.0,1.0,1.0
91159HHV5,15.0,15.0,1.0,250.0,1.0,1.0,15.0,15,250,1.0,1.0,1.0,15.0,5.0,15.0,1,15.0,15,1.0,1.0,15.0,1,15,15.0,1.0,250.0,1.0,15.0,10.0,1.0
594918BX1,10.0,250.0,15.0,15.0,250.0,2.0,15.0,250,15,15.0,15.0,250.0,15.0,250.0,250.0,250,15.0,250,2.0,2.0,15.0,240,15,250.0,15.0,15.0,2.0,250.0,2.0,2.0
037833CG3,10.0,15.0,15.0,2.0,2.0,15.0,15.0,2,2,15.0,15.0,15.0,15.0,2.0,15.0,2,15.0,2,2.0,2.0,2.0,2,15,2.0,250.0,2.0,15.0,2.0,2.0,2.0
459200HU8,100.0,100.0,100.0,250.0,100.0,100.0,100.0,100,100,100.0,100.0,100.0,100.0,100.0,100.0,100,100.0,100,100.0,100.0,100.0,100,100,100.0,250.0,100.0,100.0,100.0,100.0,100.0
88579YBB6,15.0,2.0,2.0,2.0,15.0,2.0,2.0,15,2,10.0,15.0,250.0,15.0,2.0,15.0,15,15.0,15,15.0,2.0,15.0,2,2,15.0,250.0,2.0,15.0,15.0,2.0,2.0
91324PDM1,15.0,15.0,15.0,15.0,15.0,2.0,2.0,2,15,2.0,15.0,15.0,2.0,2.0,15.0,2,15.0,250,250.0,2.0,2.0,250,2,15.0,15.0,15.0,2.0,250.0,2.0,2.0
437076BC5,15.0,2.0,15.0,15.0,15.0,15.0,15.0,2,10,15.0,15.0,2.0,15.0,15.0,2.0,15,2.0,2,2.0,15.0,15.0,15,20,15.0,15.0,10.0,2.0,2.0,15.0,15.0
29379VBB8,15.0,10.0,250.0,15.0,15.0,250.0,5.0,5,15,10.0,15.0,1.0,250.0,250.0,5.0,5,250.0,15,1.0,5.0,250.0,15,15,1.0,5.0,15.0,5.0,15.0,15.0,250.0
38141GXE9,15.0,15.0,2.0,15.0,2.0,15.0,15.0,15,15,2.0,2.0,2.0,15.0,5.0,15.0,2,15.0,250,2.0,2.0,15.0,2,2,250.0,5.0,15.0,2.0,250.0,2.0,2.0
025816CC1,15.0,2.0,2.0,2.0,5.0,2.0,15.0,30,2,15.0,15.0,5.0,30.0,2.0,15.0,30,2.0,5,2.0,5.0,2.0,2,15,15.0,2.0,2.0,30.0,5.0,2.0,2.0
02079KAB3,15.0,15.0,15.0,15.0,15.0,250.0,5.0,15,15,2.0,15.0,2.0,15.0,15.0,15.0,15,15.0,15,2.0,15.0,15.0,250,10,15.0,15.0,15.0,15.0,15.0,15.0,15.0
452308AT6,2.0,2.0,15.0,10.0,15.0,15.0,20.0,15,10,15.0,15.0,15.0,15.0,2.0,15.0,15,15.0,15,15.0,15.0,15.0,15,10,15.0,15.0,10.0,10.0,15.0,2.0,2.0
713448CM8,15.0,15.0,15.0,15.0,2.0,15.0,15.0,15,2,15.0,15.0,15.0,15.0,15.0,15.0,15,2.0,2,2.0,2.0,10.0,2,10,15.0,2.0,2.0,2.0,2.0,250.0,2.0
907818FA1,5.0,5.0,250.0,15.0,15.0,1.0,5.0,1,15,1.0,15.0,20.0,15.0,1.0,1.0,1,15.0,15,15.0,1.0,15.0,1,15,15.0,15.0,15.0,1.0,15.0,15.0,15.0
38141GVM3,15.0,15.0,250.0,2.0,250.0,15.0,250.0,5,250,250.0,2.0,2.0,15.0,15.0,5.0,2,2.0,15,15.0,2.0,2.0,2,5,15.0,5.0,250.0,2.0,15.0,2.0,2.0
17275RAN2,15.0,10.0,15.0,15.0,2.0,250.0,2.0,2,15,2.0,2.0,15.0,250.0,15.0,15.0,5,250.0,15,2.0,2.0,15.0,2,2,15.0,15.0,15.0,15.0,15.0,10.0,10.0
96950FAM6,5.0,5.0,15.0,2.0,2.0,2.0,2.0,2,15,250.0,15.0,15.0,15.0,15.0,2.0,2,15.0,250,250.0,250.0,250.0,15,2,15.0,15.0,15.0,2.0,250.0,15.0,2.0
24422EUX5,15.0,15.0,15.0,15.0,250.0,1.0,5.0,1,15,15.0,250.0,15.0,15.0,15.0,250.0,1,10.0,15,15.0,1.0,15.0,15,15,250.0,15.0,15.0,250.0,15.0,1.0,1.0
58933YAU9,15.0,2.0,15.0,250.0,15.0,2.0,2.0,15,2,2.0,15.0,15.0,10.0,15.0,15.0,15,15.0,250,250.0,15.0,250.0,250,10,15.0,250.0,2.0,2.0,250.0,15.0,15.0
19416QEG1,10.0,15.0,250.0,10.0,5.0,15.0,15.0,5,15,15.0,250.0,15.0,15.0,15.0,5.0,15,15.0,15,15.0,15.0,15.0,15,250,15.0,15.0,15.0,5.0,15.0,15.0,15.0
571748BF8,15.0,15.0,15.0,15.0,2.0,15.0,15.0,2,2,15.0,15.0,15.0,2.0,250.0,2.0,2,15.0,2,2.0,2.0,2.0,2,15,2.0,250.0,2.0,2.0,2.0,15.0,2.0
717081ES8,15.0,250.0,5.0,15.0,15.0,2.0,250.0,15,250,2.0,15.0,15.0,15.0,2.0,15.0,15,250.0,15,2.0,2.0,2.0,2,2,15.0,2.0,250.0,15.0,15.0,5.0,5.0
09247XAL5,15.0,2.0,2.0,2.0,250.0,2.0,5.0,2,15,2.0,2.0,2.0,15.0,15.0,2.0,2,15.0,2,2.0,2.0,2.0,235,250,2.0,2.0,15.0,250.0,2.0,2.0,2.0
06051GFF1,15.0,10.0,15.0,10.0,250.0,2.0,225.0,2,2,2.0,2.0,15.0,15.0,15.0,15.0,2,15.0,15,15.0,2.0,15.0,2,15,10.0,2.0,2.0,10.0,15.0,250.0,10.0
57636QAB0,15.0,15.0,2.0,15.0,2.0,2.0,5.0,2,15,2.0,15.0,15.0,2.0,2.0,15.0,2,15.0,2,2.0,10.0,2.0,2,2,15.0,15.0,15.0,2.0,2.0,250.0,15.0
